Date,Open,High,Low,Close,Adj Close,Volume
2000-02-29,10,10,10,10,4.351581,0
2000-03-01,10.05,10.05,10.05,10.05,4.37334,0
2000-03-02,10.05,10.05,10.05,10.05,4.37334,0
2000-03-03,10.09,10.09,10.09,10.09,4.390747,0
2000-03-06,10.07,10.07,10.07,10.07,4.382043,0
2000-03-07,9.96,9.96,9.96,9.96,4.334175,0
2000-03-08,9.96,9.96,9.96,9.96,4.334175,0
2000-03-09,10.06,10.06,10.06,10.06,4.377691,0
2000-03-10,9.98,9.98,9.98,9.98,4.342877,0
2000-03-13,9.88,9.88,9.88,9.88,4.299363,0
2000-03-14,9.86,9.86,9.86,9.86,4.290658,0
2000-03-15,10.17,10.17,10.17,10.17,4.425558,0
2000-03-16,10.68,10.68,10.68,10.68,4.647489,0
2000-03-17,10.51,10.51,10.51,10.51,4.573513,0
2000-03-20,10.46,10.46,10.46,10.46,4.551754,0
2000-03-21,10.58,10.58,10.58,10.58,4.603973,0
2000-03-22,10.52,10.52,10.52,10.52,4.577865,0
2000-03-23,10.62,10.62,10.62,10.62,4.62138,0
2000-03-24,10.57,10.57,10.57,10.57,4.599622,0
2000-03-27,10.53,10.53,10.53,10.53,4.582215,0
2000-03-28,10.55,10.55,10.55,10.55,4.590919,0
2000-03-29,10.58,10.58,10.58,10.58,4.603973,0
2000-03-30,10.69,10.69,10.69,10.69,4.651841,0
2000-03-31,10.82,10.82,10.82,10.82,4.708412,0
2000-04-03,10.97,10.97,10.97,10.97,4.773685,0
2000-04-04,10.94,10.94,10.94,10.94,4.760631,0
2000-04-05,11.02,11.02,11.02,11.02,4.795444,0
2000-04-06,11.11,11.11,11.11,11.11,4.834607,0
2000-04-07,11.15,11.15,11.15,11.15,4.852014,0
2000-04-10,11.14,11.14,11.14,11.14,4.847662,0
2000-04-11,11.13,11.13,11.13,11.13,4.84331,0
2000-04-12,11.15,11.15,11.15,11.15,4.852014,0
2000-04-13,11.04,11.04,11.04,11.04,4.804146,0
2000-04-14,10.53,10.53,10.53,10.53,4.582215,0
2000-04-17,10.63,10.63,10.63,10.63,4.625731,0
2000-04-18,10.79,10.79,10.79,10.79,4.695357,0
2000-04-19,10.76,10.76,10.76,10.76,4.682301,0
2000-04-20,10.84,10.84,10.84,10.84,4.717114,0
2000-04-24,10.9,10.9,10.9,10.9,4.743223,0
2000-04-25,11.26,11.26,11.26,11.26,4.89988,0
2000-04-26,11.1,11.1,11.1,11.1,4.830257,0
2000-04-27,11.09,11.09,11.09,11.09,4.825904,0
2000-04-28,11.12,11.12,11.12,11.12,4.838959,0
2000-05-01,11.23,11.23,11.23,11.23,4.886825,0
2000-05-02,11.09,11.09,11.09,11.09,4.825904,0
2000-05-03,10.83,10.83,10.83,10.83,4.712764,0
2000-05-04,10.92,10.92,10.92,10.92,4.751927,0
2000-05-05,11.09,11.09,11.09,11.09,4.825904,0
2000-05-08,11.12,11.12,11.12,11.12,4.838959,0
2000-05-09,11.1,11.1,11.1,11.1,4.830257,0
2000-05-10,10.95,10.95,10.95,10.95,4.764982,0
2000-05-11,11.12,11.12,11.12,11.12,4.838959,0
2000-05-12,11.21,11.21,11.21,11.21,4.878123,0
2000-05-15,11.32,11.32,11.32,11.32,4.925991,0
2000-05-16,11.39,11.39,11.39,11.39,4.956452,0
2000-05-17,11.21,11.21,11.21,11.21,4.878123,0
2000-05-18,11.18,11.18,11.18,11.18,4.865068,0
2000-05-19,10.95,10.95,10.95,10.95,4.764982,0
2000-05-22,10.77,10.77,10.77,10.77,4.686653,0
2000-05-23,10.63,10.63,10.63,10.63,4.625731,0
2000-05-24,10.69,10.69,10.69,10.69,4.651841,0
2000-05-25,10.62,10.62,10.62,10.62,4.62138,0
2000-05-26,10.57,10.57,10.57,10.57,4.599622,0
2000-05-30,10.91,10.91,10.91,10.91,4.747575,0
2000-05-31,10.93,10.93,10.93,10.93,4.756278,0
2000-06-01,11.14,11.14,11.14,11.14,4.847662,0
2000-06-02,11.29,11.29,11.29,11.29,4.912937,0
2000-06-05,11.19,11.19,11.19,11.19,4.869419,0
2000-06-06,11.18,11.18,11.18,11.18,4.865068,0
2000-06-07,11.18,11.18,11.18,11.18,4.865068,0
2000-06-08,11.15,11.15,11.15,11.15,4.852014,0
2000-06-09,11.22,11.22,11.22,11.22,4.882475,0
2000-06-12,11.12,11.12,11.12,11.12,4.838959,0
2000-06-13,11.17,11.17,11.17,11.17,4.860717,0
2000-06-14,11.19,11.19,11.19,11.19,4.869419,0
2000-06-15,11.22,11.22,11.22,11.22,4.882475,0
2000-06-16,11.1,11.1,11.1,11.1,4.830257,0
2000-06-19,11.13,11.13,11.13,11.13,4.84331,0
2000-06-20,11.07,11.07,11.07,11.07,4.817202,0
2000-06-21,11.17,11.17,11.17,11.17,4.860717,0
2000-06-22,11.05,11.05,11.05,11.05,4.808498,0
2000-06-23,10.96,10.96,10.96,10.96,4.769334,0
2000-06-26,11.12,11.12,11.12,11.12,4.838959,0
2000-06-27,11.08,11.08,11.08,11.08,4.821553,0
2000-06-28,11.12,11.12,11.12,11.12,4.838959,0
2000-06-29,11.19,11.19,11.19,11.19,4.869419,0
2000-06-30,11.22,11.22,11.22,11.22,4.882475,0
2000-07-03,11.39,11.39,11.39,11.39,4.956452,0
2000-07-05,11.27,11.27,11.27,11.27,4.904233,0
2000-07-06,11.19,11.19,11.19,11.19,4.869419,0
2000-07-07,11.27,11.27,11.27,11.27,4.904233,0
2000-07-10,11.34,11.34,11.34,11.34,4.934694,0
2000-07-11,11.41,11.41,11.41,11.41,4.965156,0
2000-07-12,11.56,11.56,11.56,11.56,5.030429,0
2000-07-13,11.59,11.59,11.59,11.59,5.043482,0
2000-07-14,11.71,11.71,11.71,11.71,5.095702,0
2000-07-17,11.63,11.63,11.63,11.63,5.060889,0
2000-07-18,11.49,11.49,11.49,11.49,4.999968,0
2000-07-19,11.42,11.42,11.42,11.42,4.969506,0
2000-07-20,11.42,11.42,11.42,11.42,4.969506,0
2000-07-21,11.34,11.34,11.34,11.34,4.934694,0
2000-07-24,11.23,11.23,11.23,11.23,4.886825,0
2000-07-25,11.28,11.28,11.28,11.28,4.908584,0
2000-07-26,11.12,11.12,11.12,11.12,4.838959,0
2000-07-27,11.08,11.08,11.08,11.08,4.821553,0
2000-07-28,10.88,10.88,10.88,10.88,4.734521,0
2000-07-31,11.02,11.02,11.02,11.02,4.795444,0
2000-08-01,11.03,11.03,11.03,11.03,4.799795,0
2000-08-02,11.02,11.02,11.02,11.02,4.795444,0
2000-08-03,11.14,11.14,11.14,11.14,4.847662,0
2000-08-04,11.24,11.24,11.24,11.24,4.891177,0
2000-08-07,11.39,11.39,11.39,11.39,4.956452,0
2000-08-08,11.38,11.38,11.38,11.38,4.9521,0
2000-08-09,11.37,11.37,11.37,11.37,4.947748,0
2000-08-10,11.31,11.31,11.31,11.31,4.921638,0
2000-08-11,11.4,11.4,11.4,11.4,4.960802,0
2000-08-14,11.52,11.52,11.52,11.52,5.013022,0
2000-08-15,11.4,11.4,11.4,11.4,4.960802,0
2000-08-16,11.43,11.43,11.43,11.43,4.973859,0
2000-08-17,11.56,11.56,11.56,11.56,5.030429,0
2000-08-18,11.52,11.52,11.52,11.52,5.013022,0
2000-08-21,11.5,11.5,11.5,11.5,5.004319,0
2000-08-22,11.6,11.6,11.6,11.6,5.047834,0
2000-08-23,11.62,11.62,11.62,11.62,5.056539,0
2000-08-24,11.56,11.56,11.56,11.56,5.030429,0
2000-08-25,11.57,11.57,11.57,11.57,5.034779,0
2000-08-28,11.6,11.6,11.6,11.6,5.047834,0
2000-08-29,11.59,11.59,11.59,11.59,5.043482,0
2000-08-30,11.59,11.59,11.59,11.59,5.043482,0
2000-08-31,11.66,11.66,11.66,11.66,5.073944,0
2000-09-01,11.78,11.78,11.78,11.78,5.126162,0
2000-09-05,11.7,11.7,11.7,11.7,5.091351,0
2000-09-06,11.72,11.72,11.72,11.72,5.100054,0
2000-09-07,11.77,11.77,11.77,11.77,5.121812,0
2000-09-08,11.75,11.75,11.75,11.75,5.113109,0
2000-09-11,11.82,11.82,11.82,11.82,5.143569,0
2000-09-12,11.82,11.82,11.82,11.82,5.143569,0
2000-09-13,11.74,11.74,11.74,11.74,5.108758,0
2000-09-14,11.67,11.67,11.67,11.67,5.078295,0
2000-09-15,11.58,11.58,11.58,11.58,5.039132,0
2000-09-18,11.32,11.32,11.32,11.32,4.925991,0
2000-09-19,11.23,11.23,11.23,11.23,4.886825,0
2000-09-20,11.12,11.12,11.12,11.12,4.838959,0
2000-09-21,11.01,11.01,11.01,11.01,4.791091,0
2000-09-22,10.9,10.9,10.9,10.9,4.743223,0
2000-09-25,10.98,10.98,10.98,10.98,4.778037,0
2000-09-26,10.88,10.88,10.88,10.88,4.734521,0
2000-09-27,10.98,10.98,10.98,10.98,4.778037,0
2000-09-28,11.25,11.25,11.25,11.25,4.895529,0
2000-09-29,11.02,11.02,11.02,11.02,4.795444,0
2000-10-02,10.96,10.96,10.96,10.96,4.769334,0
2000-10-03,10.99,10.99,10.99,10.99,4.782389,0
2000-10-04,11.08,11.08,11.08,11.08,4.821553,0
2000-10-05,11.16,11.16,11.16,11.16,4.856366,0
2000-10-06,10.92,10.92,10.92,10.92,4.751927,0
2000-10-09,10.92,10.92,10.92,10.92,4.751927,0
2000-10-10,10.83,10.83,10.83,10.83,4.712764,0
2000-10-11,10.64,10.64,10.64,10.64,4.630082,0
2000-10-12,10.4,10.4,10.4,10.4,4.525644,0
2000-10-13,10.59,10.59,10.59,10.59,4.608325,0
2000-10-16,10.64,10.64,10.64,10.64,4.630082,0
2000-10-17,10.36,10.36,10.36,10.36,4.508238,0
2000-10-18,10.35,10.35,10.35,10.35,4.503888,0
2000-10-19,10.7,10.7,10.7,10.7,4.656192,0
2000-10-20,10.73,10.73,10.73,10.73,4.669247,0
2000-10-23,10.75,10.75,10.75,10.75,4.67795,0
2000-10-24,10.82,10.82,10.82,10.82,4.708412,0
2000-10-25,10.68,10.68,10.68,10.68,4.647489,0
2000-10-26,10.64,10.64,10.64,10.64,4.630082,0
2000-10-27,10.84,10.84,10.84,10.84,4.717114,0
2000-10-30,10.99,10.99,10.99,10.99,4.782389,0
2000-10-31,11.29,11.29,11.29,11.29,4.912937,0
2000-11-01,11.3,11.3,11.3,11.3,4.917288,0
2000-11-02,11.32,11.32,11.32,11.32,4.925991,0
2000-11-03,11.21,11.21,11.21,11.21,4.878123,0
2000-11-06,11.26,11.26,11.26,11.26,4.89988,0
2000-11-07,11.28,11.28,11.28,11.28,4.908584,0
2000-11-08,11.22,11.22,11.22,11.22,4.882475,0
2000-11-09,11.07,11.07,11.07,11.07,4.817202,0
2000-11-10,10.83,10.83,10.83,10.83,4.712764,0
2000-11-13,10.78,10.78,10.78,10.78,4.691005,0
2000-11-14,10.87,10.87,10.87,10.87,4.730168,0
2000-11-15,10.98,10.98,10.98,10.98,4.778037,0
2000-11-16,10.92,10.92,10.92,10.92,4.751927,0
2000-11-17,10.94,10.94,10.94,10.94,4.760631,0
2000-11-20,10.73,10.73,10.73,10.73,4.669247,0
2000-11-21,10.75,10.75,10.75,10.75,4.67795,0
2000-11-22,10.64,10.64,10.64,10.64,4.630082,0
2000-11-24,10.76,10.76,10.76,10.76,4.682301,0
2000-11-27,10.77,10.77,10.77,10.77,4.686653,0
2000-11-28,10.67,10.67,10.67,10.67,4.643138,0
2000-11-29,10.57,10.57,10.57,10.57,4.599622,0
2000-11-30,10.26,10.26,10.26,10.26,4.464723,0
2000-12-01,10.36,10.36,10.36,10.36,4.508238,0
2000-12-04,10.44,10.44,10.44,10.44,4.543052,0
2000-12-05,10.6,10.6,10.6,10.6,4.612677,0
2000-12-06,10.48,10.48,10.48,10.48,4.560458,0
2000-12-07,10.43,10.43,10.43,10.43,4.538699,0
2000-12-08,10.64,10.64,10.64,10.64,4.630082,0
2000-12-11,10.64,10.64,10.64,10.64,4.630082,0
2000-12-12,10.77,10.77,10.77,10.77,4.686653,0
2000-12-13,10.69,10.69,10.69,10.69,4.651841,0
2000-12-14,10.52,10.52,10.52,10.52,4.577865,0
2000-12-15,10.18,10.18,10.18,10.18,4.536421,0
2000-12-18,10.24,10.24,10.24,10.24,4.563159,0
2000-12-19,10.06,10.06,10.06,10.06,4.482946,0
2000-12-20,9.85,9.85,9.85,9.85,4.389366,0
2000-12-21,9.84,9.84,9.84,9.84,4.38491,0
2000-12-22,10.08,10.08,10.08,10.08,4.49186,0
2000-12-26,10.24,10.24,10.24,10.24,4.563159,0
2000-12-27,10.46,10.46,10.46,10.46,4.661195,0
2000-12-28,10.6,10.6,10.6,10.6,4.723583,0
2000-12-29,10.52,10.52,10.52,10.52,4.687933,0
2001-01-02,10.26,10.26,10.26,10.26,4.572071,0
2001-01-03,10.61,10.61,10.61,10.61,4.728039,0
2001-01-04,10.65,10.65,10.65,10.65,4.745863,0
2001-01-05,10.49,10.49,10.49,10.49,4.674563,0
2001-01-08,10.52,10.52,10.52,10.52,4.687933,0
2001-01-09,10.55,10.55,10.55,10.55,4.701302,0
2001-01-10,10.57,10.57,10.57,10.57,4.710214,0
2001-01-11,10.73,10.73,10.73,10.73,4.781512,0
2001-01-12,10.69,10.69,10.69,10.69,4.763688,0
2001-01-16,10.82,10.82,10.82,10.82,4.821619,0
2001-01-17,10.8,10.8,10.8,10.8,4.812706,0
2001-01-18,10.83,10.83,10.83,10.83,4.826075,0
2001-01-19,10.7,10.7,10.7,10.7,4.768144,0
2001-01-22,10.73,10.73,10.73,10.73,4.781512,0
2001-01-23,10.92,10.92,10.92,10.92,4.86618,0
2001-01-24,10.91,10.91,10.91,10.91,4.861724,0
2001-01-25,10.94,10.94,10.94,10.94,4.875093,0
2001-01-26,10.84,10.84,10.84,10.84,4.83053,0
2001-01-29,11.04,11.04,11.04,11.04,4.919655,0
2001-01-30,11.13,11.13,11.13,11.13,4.959761,0
2001-01-31,11.11,11.11,11.11,11.11,4.950849,0
2001-02-01,11.11,11.11,11.11,11.11,4.950849,0
2001-02-02,11.03,11.03,11.03,11.03,4.915199,0
2001-02-05,11.11,11.11,11.11,11.11,4.950849,0
2001-02-06,11.2,11.2,11.2,11.2,4.990954,0
2001-02-07,11.14,11.14,11.14,11.14,4.964217,0
2001-02-08,11.16,11.16,11.16,11.16,4.97313,0
2001-02-09,11.07,11.07,11.07,11.07,4.933025,0
2001-02-12,11.17,11.17,11.17,11.17,4.977586,0
2001-02-13,11.21,11.21,11.21,11.21,4.995411,0
2001-02-14,11.15,11.15,11.15,11.15,4.968674,0
2001-02-15,11.25,11.25,11.25,11.25,5.013236,0
2001-02-16,11.09,11.09,11.09,11.09,4.941936,0
2001-02-20,10.99,10.99,10.99,10.99,4.897375,0
2001-02-21,10.83,10.83,10.83,10.83,4.826075,0
2001-02-22,10.76,10.76,10.76,10.76,4.79488,0
2001-02-23,10.72,10.72,10.72,10.72,4.777056,0
2001-02-26,10.95,10.95,10.95,10.95,4.879549,0
2001-02-27,10.87,10.87,10.87,10.87,4.843899,0
2001-02-28,10.73,10.73,10.73,10.73,4.781512,0
2001-03-01,10.68,10.68,10.68,10.68,4.759232,0
2001-03-02,10.75,10.75,10.75,10.75,4.790426,0
2001-03-05,10.76,10.76,10.76,10.76,4.79488,0
2001-03-06,10.9,10.9,10.9,10.9,4.857267,0
2001-03-07,11.04,11.04,11.04,11.04,4.919655,0
2001-03-08,11.08,11.08,11.08,11.08,4.93748,0
2001-03-09,10.89,10.89,10.89,10.89,4.852812,0
2001-03-12,10.44,10.44,10.44,10.44,4.652282,0
2001-03-13,10.38,10.38,10.38,10.38,4.625545,0
2001-03-14,10.38,10.38,10.38,10.38,4.625545,0
2001-03-15,10.23,10.23,10.23,10.23,4.558703,0
2001-03-16,10,10,10,10,4.456209,0
2001-03-19,10.14,10.14,10.14,10.14,4.518598,0
2001-03-20,9.98,9.98,9.98,9.98,4.447296,0
