Date,Dividends
1980-01-14,0.175000
1980-03-31,0.100000
1980-06-30,0.100000
1980-09-30,0.100000
1981-01-12,0.160000
1981-03-31,0.100000
1981-06-30,0.110000
1981-09-30,0.110000
1982-01-18,0.200000
1982-03-31,0.120000
1982-06-30,0.120000
1982-09-30,0.120000
1983-01-17,0.200000
1983-03-30,0.120000
1983-06-30,0.120000
1983-09-30,0.120000
1984-01-16,0.170000
1984-03-30,0.120000
1984-06-29,0.120000
1984-09-28,0.120000
1985-01-14,0.100000
1985-03-29,0.100000
1985-06-28,0.100000
1985-09-30,0.100000
1986-01-13,0.180000
1986-03-31,0.100000
1986-06-30,0.100000
1986-09-30,0.100000
1987-01-12,0.100000
1987-03-30,0.100000
1987-06-30,0.100000
1987-09-30,0.100000
1987-12-22,0.180000
1988-03-31,0.100000
1988-06-30,0.050000
1988-09-30,0.050000
1988-12-22,0.060000
1989-03-31,0.060000
1989-06-30,0.060000
1989-09-29,0.070000
1989-12-22,0.260000
1990-03-30,0.080000
1990-06-28,0.080000
1990-09-27,0.080000
1990-12-20,0.190000
1991-03-28,0.080000
1991-06-27,0.080000
1991-09-26,0.080000
1992-03-20,0.040000
1992-06-19,0.040000
1992-09-18,0.040000
1992-12-18,0.070000
1993-03-22,0.040000
1993-06-29,0.040000
1993-09-22,0.040000
1993-12-29,0.140000
1994-03-22,0.060000
1994-06-21,0.060000
1994-09-21,0.060000
1994-12-29,0.040000
1995-03-21,0.060000
1995-06-21,0.060000
1995-09-21,0.060000
1995-12-28,0.040000
1996-03-21,0.060000
1996-06-21,0.060000
1996-09-23,0.060000
1996-12-02,0.000000
1997-03-21,0.060000
1997-06-23,0.060000
1997-09-22,0.060000
1997-12-01,0.025000
1998-03-23,0.050000
1998-06-22,0.050000
1998-09-22,0.050000
1998-12-01,0.000000
1999-03-22,0.050000
1999-06-22,0.050000
1999-09-21,0.050000
1999-12-01,0.000000
2000-03-21,0.030000
2000-06-21,0.030000
2000-09-21,0.030000
2000-11-30,0.045000
2001-03-21,0.030000
2001-06-28,0.030000
2001-09-27,0.030000
2001-12-03,0.052000
2002-04-30,0.001000
2002-05-31,0.001000
2002-11-29,0.001000
2002-12-02,0.200000
2003-01-31,0.001000
2003-02-28,0.001000
2003-12-01,0.214000
2004-07-29,0.006000
2004-12-01,0.267000
2005-12-01,0.280000
2006-12-01,0.287000
2007-12-03,0.487000
2008-12-01,0.354000
2009-12-01,0.285000
2010-12-01,0.490000
2011-12-21,0.167000
2012-12-18,0.601000
2013-07-01,0.190000
2013-12-19,0.081000
2014-07-01,0.153000
2014-12-11,0.053000
2015-07-01,0.284000
2015-12-10,0.000000
2016-07-01,0.103000
2016-12-13,0.171000
2017-06-28,0.110000
2017-12-13,0.040000
2018-06-27,0.120000
2018-12-12,0.068000
2019-06-26,0.155000
2019-12-12,0.257000
2020-12-10,0.146000
2021-06-23,0.034000
2021-12-09,0.037000

